latitude,longitude,date,region_id
37.41321,126.704056,2021-08-31,2305067
37.41321,126.704056,2021-08-31,2305067
37.41976,126.6958,2021-08-31,2304052
37.422306,126.71264,2021-08-31,2305067
37.435635,126.70728,2021-08-31,2305051
37.43171,126.646355,2021-08-31,2304060
37.43103,126.75977,2021-08-31,2305075
37.43047,126.64622,2021-08-31,2304060
37.445686,126.66704,2021-08-31,2309061
37.433456,126.70794,2021-08-31,2305067
37.430073,126.71581,2021-08-31,2305067
37.42868,126.71421,2021-08-31,2305067
37.42982,126.71756,2021-08-31,2305067
37.438736,126.67465,2021-08-31,2309060
37.438904,126.6743,2021-08-31,2309061
37.43954,126.67266,2021-08-31,2309061
37.43987,126.67173,2021-08-31,2309060
37.44039,126.6787,2021-08-31,2309074
37.431652,126.713715,2021-08-31,2305067
37.43995,126.67889,2021-08-31,2309074
37.42718,126.7161,2021-08-31,2305067
37.42214,126.71488,2021-08-31,2305067
37.41912,126.711624,2021-08-31,2305067
37.441296,126.64955,2021-08-31,2309060
37.431683,126.64654,2021-08-31,2304060
37.413998,126.711,2021-08-31,2305073
37.430782,126.64757,2021-08-31,2304060
37.44274,126.68036,2021-08-31,2309071
37.430763,126.64759,2021-08-31,2304060
37.43012,126.649506,2021-08-31,2304060
37.429893,126.65013,2021-08-31,2304060
37.428726,126.65379,2021-08-31,2304060
37.418354,126.709785,2021-08-31,2305067
37.40326,126.67897,2021-08-31,2304058
37.438637,126.68315,2021-08-31,2309074
37.38939,126.66565,2021-08-31,2304065
37.41733,126.69331,2021-08-31,2304054
37.396408,126.67116,2021-08-31,2304058
37.383816,126.64879,2021-08-31,2304064
37.37913,126.66487,2021-08-31,2304065
37.380417,126.66273,2021-08-31,2304065
37.38557,126.645454,2021-08-31,2304064
37.42607,126.69863,2021-08-31,2304052
37.42786,126.69894,2021-08-31,2304052
37.410347,126.68566,2021-08-31,2304054
37.42013,126.69604,2021-08-31,2304055
37.43395,126.69809,2021-08-31,2304052
37.41946,126.68218,2021-08-30,2304055
37.419453,126.682205,2021-08-30,2304055
37.41346,126.68436,2021-08-30,2304054
37.417995,126.67833,2021-08-30,2304054
37.411625,126.67353,2021-08-30,2304059
37.40853,126.67037,2021-08-30,2304058
37.396862,126.67282,2021-08-30,2305074
37.39512,126.67563,2021-08-30,2305074
37.39512,126.67563,2021-08-30,2305074
37.41705,126.695526,2021-08-30,2305067
37.43157,126.64637,2021-08-30,2304060
37.44739,126.65265,2021-08-30,2309060
37.43551,126.64765,2021-08-30,2309060
37.43072,126.64625,2021-08-30,2304060
37.489212,126.73532,2021-08-30,2306067
37.489193,126.73532,2021-08-30,2306067
37.50439,126.7036,2021-08-30,2306058
37.506897,126.7208,2021-08-30,2306062
37.480316,126.7516,2021-08-30,2306069
37.400917,126.72456,2021-08-30,2305074
37.39878,126.7246,2021-08-30,2305074
37.39877,126.724594,2021-08-30,2305074
37.3988,126.7246,2021-08-30,2305074
37.40186,126.71306,2021-08-30,2305073
37.40737,126.70492,2021-08-30,2305073
37.407345,126.70497,2021-08-30,2305073
37.401382,126.72411,2021-08-30,2305073
37.462696,126.73217,2021-08-30,2305060
37.459198,126.72708,2021-08-30,2305061
37.449444,126.71135,2021-08-30,2305051
37.447075,126.707405,2021-08-30,2305051
37.450413,126.61389,2021-08-30,2301052
37.449352,126.6248,2021-08-30,2301054
37.44936,126.624855,2021-08-30,2301054
37.460644,126.68959,2021-08-30,2309070
37.409836,126.666855,2021-08-30,2304057
37.408375,126.67196,2021-08-30,2304059
37.408363,126.67198,2021-08-30,2304059
37.474396,126.68915,2021-08-30,2306070
37.474396,126.689125,2021-08-30,2306070
37.474327,126.68919,2021-08-30,2306070
37.47431,126.68921,2021-08-30,2306070
37.474297,126.68922,2021-08-30,2306070
37.474277,126.68923,2021-08-30,2306070
37.474255,126.68925,2021-08-30,2306070
37.474247,126.689255,2021-08-30,2306070
37.474266,126.68924,2021-08-30,2306070
37.47426,126.689255,2021-08-30,2306070
37.474266,126.68928,2021-08-30,2306070
37.474262,126.689224,2021-08-30,2306070
37.465694,126.69009,2021-08-30,2309069
37.461906,126.689835,2021-08-30,2309070
37.418827,126.69206,2021-08-30,2304055
37.418705,126.69257,2021-08-30,2304055
37.418667,126.69264,2021-08-30,2304055
37.446404,126.68989,2021-08-30,2309073
37.447784,126.69611,2021-08-30,2305053
37.448227,126.6896,2021-08-30,2309072
37.442932,126.708496,2021-08-30,2305051
37.45213,126.679855,2021-08-30,2309068
37.45213,126.679855,2021-08-30,2309068
37.45515,126.67991,2021-08-30,2309066
37.45577,126.67995,2021-08-30,2309066
37.440136,126.699844,2021-08-30,2309073
37.45849,126.682686,2021-08-30,2309065
37.459915,126.6826,2021-08-30,2309065
37.45862,126.67948,2021-08-30,2309065
37.456062,126.67999,2021-08-30,2309068
37.4559,126.68001,2021-08-30,2309068
37.43863,126.68307,2021-08-30,2309074
37.413624,126.68511,2021-08-30,2304054
37.41349,126.685295,2021-08-30,2304054
37.451942,126.70457,2021-08-30,2305053
37.433987,126.69809,2021-08-30,2304052
37.440136,126.69989,2021-08-30,2309073
37.443077,126.70525,2021-08-30,2305053
37.41799,126.67833,2021-08-30,2304054
37.417557,126.6779,2021-08-30,2304054
37.37725,126.66444,2021-08-30,2304065
37.41292,126.676125,2021-08-30,2304059
37.411457,126.67888,2021-08-30,2304054
37.416225,126.68086,2021-08-30,2304054
37.419537,126.67012,2021-08-30,2304056
37.421623,126.67236,2021-08-30,2304056
37.414593,126.68354,2021-08-30,2304054
37.416107,126.69168,2021-08-30,2304054
37.413666,126.68935,2021-08-30,2304054
37.408863,126.67834,2021-08-30,2304059
37.410862,126.66815,2021-08-30,2304057
37.436802,126.70695,2021-08-30,2305051
37.431675,126.709625,2021-08-30,2305067
37.42816,126.71424,2021-08-30,2305067
37.431522,126.71155,2021-08-30,2305067
37.431522,126.71155,2021-08-30,2305067
37.454052,126.62565,2021-08-30,2301052
37.45592,126.62014,2021-08-30,2301052
37.447998,126.62849,2021-08-30,2301054
37.400696,126.66952,2021-08-30,2304058
37.437977,126.666664,2021-08-30,2309060
37.406677,126.67453,2021-08-30,2304059
37.43786,126.73225,2021-08-30,2305067
37.405594,126.65825,2021-08-30,2304057
37.400467,126.67543,2021-08-30,2304058
37.433483,126.72433,2021-08-30,2305067
37.375248,126.636856,2021-08-30,2304064
37.41297,126.66351,2021-08-30,2304057
37.393803,126.665405,2021-08-30,2304058
37.403435,126.62975,2021-08-30,2304066
37.39626,126.63331,2021-08-30,2304066
37.39626,126.63331,2021-08-30,2304066
37.393326,126.63492,2021-08-30,2304066
37.39901,126.67395,2021-08-30,2304058
37.401775,126.68248,2021-08-30,2305074
37.388466,126.71179,2021-08-30,2305074
37.385944,126.71412,2021-08-29,2305074
37.39609,126.69439,2021-08-29,2305074
37.395576,126.695526,2021-08-29,2305074
37.40868,126.70063,2021-08-29,2305073
37.409725,126.7014,2021-08-29,2305073
37.428146,126.699036,2021-08-29,2304052
37.431187,126.69875,2021-08-29,2304052
37.435684,126.69919,2021-08-29,2304052
37.434967,126.70395,2021-08-29,2304052
37.410835,126.66817,2021-08-29,2304057
37.410908,126.66806,2021-08-29,2304057
37.411083,126.66604,2021-08-29,2304057
37.411083,126.66604,2021-08-29,2304057
37.41774,126.67343,2021-08-29,2304056
37.43166,126.71059,2021-08-29,2305067
37.431683,126.708176,2021-08-29,2305067
37.383797,126.65853,2021-08-29,2304065
37.38045,126.6545,2021-08-29,2304064
37.380474,126.65446,2021-08-29,2304064
37.390472,126.63811,2021-08-29,2304066
37.390118,126.63873,2021-08-29,2304066
37.388573,126.64209,2021-08-29,2304066
37.39807,126.65229,2021-08-29,2304066
37.456596,126.60682,2021-08-29,2301052
37.407238,126.67709,2021-08-29,2304059
37.425884,126.65216,2021-08-29,2304060
37.396065,126.633224,2021-08-29,2304066
37.396095,126.63322,2021-08-29,2304066
37.40273,126.65646,2021-08-29,2304057
37.406826,126.65919,2021-08-29,2304057
37.41289,126.6633,2021-08-29,2304057
37.418438,126.66674,2021-08-29,2304056
37.42323,126.70106,2021-08-29,2304052
37.421085,126.69687,2021-08-29,2304055
37.421085,126.69687,2021-08-29,2304055
37.4264,126.69878,2021-08-29,2304052
37.420643,126.69672,2021-08-29,2304052
37.419495,126.69556,2021-08-29,2304052
37.418808,126.69237,2021-08-29,2304055
37.418804,126.69213,2021-08-29,2304055
37.41793,126.68306,2021-08-29,2304055
37.42602,126.667366,2021-08-29,2304056
37.432865,126.69816,2021-08-29,2304052
37.443073,126.70517,2021-08-29,2305053
37.4574,126.70855,2021-08-29,2305056
37.478127,126.71026,2021-08-29,2306053
37.480274,126.70987,2021-08-29,2306053
37.486748,126.70781,2021-08-29,2306053
37.5114,126.72066,2021-08-29,2306062
37.45231,126.647934,2021-08-29,2309056
37.485336,126.708115,2021-08-29,2306053
37.47779,126.71026,2021-08-29,2305057
37.47863,126.710556,2021-08-29,2305057
37.44529,126.67377,2021-08-29,2309067
37.44529,126.67377,2021-08-29,2309067
37.452366,126.70807,2021-08-29,2305051
37.44799,126.681404,2021-08-29,2309072
37.44299,126.706085,2021-08-29,2305053
37.44299,126.706085,2021-08-29,2305053
37.443054,126.70028,2021-08-29,2309073
37.465,126.68993,2021-08-29,2309069
37.474987,126.68907,2021-08-29,2306070
37.474987,126.68907,2021-08-29,2306070
37.44007,126.69386,2021-08-29,2309073
37.476017,126.68767,2021-08-29,2306070
37.481213,126.68081,2021-08-29,2308065
37.48126,126.68074,2021-08-29,2308065
37.484753,126.66886,2021-08-29,2308062
37.443165,126.70414,2021-08-29,2305053
37.462276,126.70815,2021-08-29,2305055
37.48678,126.7078,2021-08-29,2306059
37.48565,126.68025,2021-08-29,2308065
37.483444,126.68018,2021-08-29,2308065
37.476395,126.68749,2021-08-29,2308065
37.474884,126.68952,2021-08-29,2306070
37.474712,126.68976,2021-08-29,2306070
37.473118,126.69192,2021-08-29,2306070
37.472416,126.6929,2021-08-29,2306070
37.472027,126.69341,2021-08-29,2306070
37.472027,126.69341,2021-08-29,2306070
37.469788,126.69685,2021-08-29,2306071
37.469788,126.69685,2021-08-29,2306071
37.530308,126.73163,2021-08-29,2307056
37.490322,126.67533,2021-08-29,2308064
37.463608,126.67321,2021-08-29,2309062
37.463455,126.67313,2021-08-29,2309062
37.455673,126.680046,2021-08-29,2309068
37.481277,126.639626,2021-08-29,2302057
37.48571,126.63047,2021-08-29,2302053
37.48331,126.61849,2021-08-29,2302051
37.477535,126.61659,2021-08-29,2301060
37.473,126.61681,2021-08-29,2301053
37.426132,126.69901,2021-08-29,2304052
37.423386,126.68878,2021-08-29,2304055
37.462914,126.63702,2021-08-29,2301054
37.457558,126.633896,2021-08-29,2301054
37.461666,126.67179,2021-08-29,2309062
37.419704,126.69575,2021-08-29,2304052
37.525513,126.723045,2021-08-29,2307057
37.418625,126.681305,2021-08-29,2304053
37.531998,126.7382,2021-08-29,2307058
37.550583,126.743095,2021-08-29,2307061
37.55645,126.744934,2021-08-29,2307063
37.563023,126.74244,2021-08-29,2307063
37.572807,126.74291,2021-08-29,2307064
37.5733,126.75551,2021-08-29,2307064
37.580723,126.76984,2021-08-29,2307064
37.584827,126.77516,2021-08-29,2307064
37.55834,126.7521,2021-08-29,2307064
37.444794,126.70048,2021-08-29,2305053
37.440166,126.69989,2021-08-29,2309073
37.440166,126.69989,2021-08-29,2309073
37.44271,126.657616,2021-08-29,2309060
37.43623,126.64851,2021-08-29,2309060
37.435867,126.64785,2021-08-29,2309060
37.427944,126.6563,2021-08-29,2304051
37.419987,126.695915,2021-08-29,2304055
37.420956,126.69687,2021-08-29,2304055
37.455353,126.6494,2021-08-29,2309056
37.464573,126.64873,2021-08-29,2309052
37.470943,126.70801,2021-08-29,2305057
37.484234,126.74933,2021-08-29,2306069
37.433456,126.724365,2021-08-29,2305067
37.43354,126.723145,2021-08-29,2305067
37.427597,126.71016,2021-08-29,2305067
37.423107,126.69262,2021-08-28,2304052
37.42398,126.68524,2021-08-28,2304053
37.427586,126.698814,2021-08-28,2304052
37.481495,126.66268,2021-08-28,2302061
37.480156,126.68894,2021-08-28,2308065
37.440765,126.69835,2021-08-28,2309073
37.45128,126.701385,2021-08-28,2305053
37.44015,126.69991,2021-08-28,2309073
37.417473,126.677864,2021-08-28,2304054
37.404655,126.677376,2021-08-28,2304059
37.43908,126.694626,2021-08-28,2309073
37.427017,126.66417,2021-08-28,2304056
37.423885,126.68712,2021-08-28,2304053
37.429455,126.69653,2021-08-28,2304052
37.440178,126.69989,2021-08-28,2309073
37.422226,126.668434,2021-08-28,2304056
37.42384,126.68712,2021-08-28,2304053
37.40177,126.68261,2021-08-27,2305074
37.42099,126.69688,2021-08-27,2304055
37.39858,126.65843,2021-08-27,2304057
37.433968,126.70759,2021-08-27,2305067
37.438595,126.68303,2021-08-27,2309074
37.438602,126.683075,2021-08-27,2309074
37.43929,126.67909,2021-08-27,2309074
37.44908,126.687256,2021-08-27,2309072
37.45086,126.68687,2021-08-27,2309072
37.450806,126.68966,2021-08-27,2309068
37.382362,126.712944,2021-08-27,2305074
37.38784,126.68066,2021-08-27,2304065
37.40035,126.67561,2021-08-27,2304058
37.397907,126.672516,2021-08-27,2304058
37.42943,126.651024,2021-08-27,2304060
37.426083,126.6448,2021-08-27,2304060
37.42217,126.713165,2021-08-27,2305067
37.420803,126.68274,2021-08-27,2304053
37.42586,126.64474,2021-08-27,2304060
37.58982,126.698044,2021-08-27,2308087
37.444168,126.65033,2021-08-27,2309060
37.4618,126.69821,2021-08-27,2305058
37.474255,126.689255,2021-08-27,2306070
37.51408,126.70398,2021-08-27,2306061
37.514664,126.70405,2021-08-27,2306061
37.538586,126.67652,2021-08-27,2308053
37.53868,126.67654,2021-08-27,2308053
37.568596,126.66427,2021-08-27,2308051
37.518085,126.6779,2021-08-27,2308056
37.44977,126.708015,2021-08-27,2305051
37.433544,126.73239,2021-08-27,2305067
37.421436,126.737305,2021-08-27,2305067
37.399403,126.74024,2021-08-27,2305072
37.404926,126.71061,2021-08-27,2305073
37.4077,126.70435,2021-08-27,2305073
37.443012,126.691475,2021-08-26,2309073
37.45089,126.68641,2021-08-26,2309072
37.424057,126.669075,2021-08-26,2304056
37.387985,126.64234,2021-08-26,2304064
37.39066,126.651695,2021-08-26,2304064
37.425125,126.64708,2021-08-26,2304060
37.41209,126.70329,2021-08-26,2305073
37.427628,126.698845,2021-08-26,2304052
37.42762,126.698845,2021-08-26,2304052
37.45219,126.72,2021-08-26,2305054
37.54373,126.71935,2021-08-26,2307054
37.543728,126.719376,2021-08-26,2307054
37.543728,126.719406,2021-08-26,2307054
37.502357,126.70329,2021-08-26,2306058
37.51031,126.6725,2021-08-26,2308058
37.48733,126.73017,2021-08-26,2306056
37.42294,126.69242,2021-08-26,2304055
37.40433,126.63056,2021-08-26,2304066
37.458584,126.67822,2021-08-26,2309066
37.37015,126.645676,2021-08-26,2304065
37.457035,126.66764,2021-08-26,2309066
37.43869,126.674805,2021-08-26,2309061
37.377678,126.65664,2021-08-26,2304065
37.441437,126.66793,2021-08-26,2309061
37.38062,126.654076,2021-08-26,2304064
37.43611,126.648285,2021-08-26,2309060
37.435894,126.64785,2021-08-26,2309060
37.423996,126.6687,2021-08-26,2304056
37.39356,126.650505,2021-08-26,2304064
37.447983,126.681854,2021-08-26,2309072
37.44835,126.6898,2021-08-26,2309072
37.44954,126.68981,2021-08-26,2309072
37.40331,126.65671,2021-08-26,2304057
37.45092,126.686264,2021-08-26,2309072
37.444553,126.679214,2021-08-26,2309071
37.419533,126.695564,2021-08-26,2304052
37.417236,126.69524,2021-08-26,2304052
37.485355,126.68199,2021-08-26,2308065
37.47767,126.66861,2021-08-26,2309077
37.479946,126.65487,2021-08-26,2309077
37.47519,126.64818,2021-08-26,2302060
37.444977,126.65056,2021-08-26,2309060
37.437546,126.64829,2021-08-26,2309060
37.433575,126.64712,2021-08-26,2304060
37.444073,126.66507,2021-08-26,2309060
37.45378,126.680885,2021-08-26,2309068
37.46579,126.69123,2021-08-26,2305058
37.465786,126.69126,2021-08-26,2309069
37.468887,126.6955,2021-08-26,2305058
37.470806,126.69486,2021-08-26,2306071
37.46951,126.697464,2021-08-26,2306071
37.43353,126.73237,2021-08-26,2305067
37.435543,126.73233,2021-08-26,2305067
37.423332,126.73692,2021-08-26,2305067
37.414486,126.738464,2021-08-26,2305072
37.39936,126.74154,2021-08-26,2305072
37.400482,126.741165,2021-08-26,2305072
37.400482,126.741165,2021-08-26,2305072
37.443974,126.74343,2021-08-26,2305064
37.46849,126.699524,2021-08-26,2306071
37.471703,126.69362,2021-08-26,2306070
37.473896,126.690704,2021-08-26,2306070
37.47386,126.69076,2021-08-26,2306070
37.474693,126.6896,2021-08-26,2306070
37.475082,126.68909,2021-08-26,2306070
37.483833,126.67718,2021-08-26,2308064
37.53996,126.669785,2021-08-26,2308053
37.54024,126.66515,2021-08-26,2308053
37.519867,126.66256,2021-08-26,2308073
37.522537,126.63439,2021-08-26,2308078
37.48914,126.67131,2021-08-26,2308062
37.488026,126.67506,2021-08-26,2308062
37.538517,126.67654,2021-08-26,2308053
37.538593,126.67652,2021-08-26,2308053
37.547844,126.64314,2021-08-26,2308051
37.54732,126.64354,2021-08-26,2308051
37.562973,126.63579,2021-08-26,2308084
37.563774,126.63486,2021-08-26,2308084
37.56307,126.6321,2021-08-26,2308084
37.584435,126.578255,2021-08-26,2308084
37.58741,126.57603,2021-08-26,2308084
37.634903,126.529945,2021-08-26,2331033
37.634876,126.52991,2021-08-26,2331033
37.62955,126.522835,2021-08-26,2331033
37.629745,126.52123,2021-08-26,2331033
37.628857,126.53202,2021-08-26,2331033
37.58719,126.57619,2021-08-26,2308084
37.585438,126.57757,2021-08-26,2308084
37.585163,126.577774,2021-08-26,2308084
37.56714,126.59984,2021-08-26,2308084
37.518017,126.660126,2021-08-26,2308073
37.51794,126.663445,2021-08-26,2308073
37.5159,126.672165,2021-08-25,2308073
37.5159,126.672165,2021-08-25,2308073
37.51595,126.672165,2021-08-25,2308073
37.522408,126.67531,2021-08-25,2308054
37.402084,126.68191,2021-08-25,2305074
37.38718,126.69117,2021-08-25,2305074
37.473965,126.64552,2021-08-25,2302060
37.395115,126.67555,2021-08-25,2305074
37.3962,126.67405,2021-08-25,2305074
37.41033,126.685646,2021-08-25,2304054
37.4044,126.68003,2021-08-25,2304059
37.450737,126.69105,2021-08-25,2309068
37.399868,126.67816,2021-08-25,2305074
37.40027,126.67861,2021-08-25,2305074
37.41136,126.67779,2021-08-25,2304059
37.442772,126.70019,2021-08-25,2309073
37.442444,126.70014,2021-08-25,2309073
37.440052,126.699844,2021-08-25,2309073
37.438427,126.69035,2021-08-25,2309074
37.438892,126.68053,2021-08-25,2309074
37.418015,126.67827,2021-08-25,2304056
37.426968,126.661896,2021-08-25,2304056
37.40301,126.670784,2021-08-25,2304058
37.43974,126.70236,2021-08-25,2309073
37.441227,126.70254,2021-08-25,2309073
37.41237,126.68777,2021-08-25,2304054
37.412437,126.68786,2021-08-25,2304054
37.412933,126.68838,2021-08-25,2304054
