title,author,publisher,date,price,rating
천연약용식물학,이호선 저,아트하우스,2014년 04월,"20,000",X
유전자원식물학,"김성민, 신동일, 송홍선 공저",공주대학교출판부,2008년 08월,"22,000",X
일반식물학,GRAHAM 저 / 강원희 등역,월드사이언스,2008년 02월,"30,000",X
어디에서 왔을까 시리즈 1~5권 세트(문구세트+종합장 증정) : 과일의 비밀/곡식의 지혜/채소의 식물학/밥상 위 뼈 탐험/맛있는 진화의 비밀,모리구치 미쓰루,봄나무(전집),2017년 03월,"54,000",X
조경식물학,"김용식 ,강호철,김광두,김동엽,김인호 편",광일문화사,2007년 02월,"28,000",X
최신 조경식물학,김용식저,광일문화사,2006년 03월,"32,000",X
세밀화로 보는 어디에서 왔을까세트(전5권/곡식의 지혜+채소의 식물학+과일의 비밀+진화의 비밀+밥상 위 뼈 탐험),"모리구치 미쓰루,이진원외",봄나무(전집),2016년 04월,"54,000",X
지피식물학,방광자 저,조경,2005년 02월,"16,200",X
강치욱 생물학총론 6 식물학·생태학,강치욱 편저,배움,2018년 04월,"17,100",X
메모지증정/어디에서 왔을까? 1-5권세트(전5권/과일의비밀+곡식의지혜+채소의식물학+밥상위뼈탐험+진화의비밀),모리구치 미쓰루 글 / 그림,봄나무(전집),2017년 03월,"54,000",X
어디에서 왔을까 채소의식물학+곡식의지혜+과일의비밀 묶음세트(전3권)(도감),모리구치 미쓰루 글그림/이진원 역/유영한 감수,봄나무(전집),2017년 11월,"32,400",X
환경식물학,양운진,동화기술,1994년 09월,"12,000",X
조경식물학,"김용식, 강호철, 김광두, 김동엽, 김민수, 김인호 공저",광일문화사,2013년 02월,"32,000",X
약용식물학 실험,송창길 등저,제주대학교출판부,1999년 08월,"8,000",X
자생식물학,이정식.윤평섭 공저,서일,1997년 02월,"15,000",X
자원식물학,임웅규,서일,1997년 02월,"15,000",X
세밀화로 보는 어디에서 왔을까? 세트/전5권/진화의비밀.밥상위뼈탐험.채소의식물학.곡식의지혜.과일의비밀,모리구치 미쓰루 글그림,봄나무(전집),2016년 03월,"54,000",X
약용식물학,김원 편,경북대학교출판부,1997년 08월,"5,000",X
식물분자생물학 연구법,남홍길 등저,아카데미서적,1999년 03월,"9,000",X
식물 학교에 오세요!,"김성화, 권수진 글 / 이민하 그림",디딤돌교육(단행본),2006년 12월,"6,300",X
"Techspa 7,9급 농업직 식물작물(학)","박혜랑,행정고시학원 편",박문각,2006년 01월,"18,000",X
초등 동식물 학습백과 6학년,X,컴퓨터찬스,2002년 03월,"44,000",X
초등 동식물 학습백과 5학년,X,컴퓨터찬스,2002년 03월,"44,000",X
초등 동식물 학습백과 4학년,X,컴퓨터찬스,2002년 03월,"44,000",X
초등 동식물 학습백과 3학년,X,컴퓨터찬스,2002년 03월,"44,000",X
초등 동식물 학습백과 2학년,X,컴퓨터찬스,2002년 03월,"44,000",X
초등 동식물 학습백과 1학년,X,컴퓨터찬스,2002년 03월,"44,000",X
계몽 동식물 학습백과,X,(주)계몽교육정보,X,"30,800",X
식물 학습도감,이지열 감수,예림당,1997년 08월,"18,000",6.5
생물학개론 3st,강치욱 저,에코에티카(ECOETHICA),2014년 12월,"27,000",X
기관추천 선정필독서세트 B (전8권) - 1학년,얀 손힐 저 / 이순미 역외,책이랑(기획),2011년 04월,"67,950",X
하루 한 식물,마키노 도미타로 저 / 안은미 역 / 신현철 감수,한빛비즈,2016년 04월,"13,500",9.4
초등과학 주제학습 1~8권 묶음세트(전8권)+사은품증정(랜덤)기체 태양계로 드라이브 떠나다/호기심 달나라에 착륙하다,성혜숙 글 / 신명환 그림,북멘토출판사(전집),2017년 11월,"55,800",X
